UUID,SDATE,CODE,NAME,CLASSIFY,OPEN,CLOSE,HIGH,LOW,VOLUME,AMOUNT,Y_CLOSE,P_CHANGE,P_CHANGE_RATE,TURNOVER,MARKETCAP,FAMC,ZBS
3f66c46a-a099-11e8-b5c1-56137984902b,2017/9/28,000001_SSE,上证指数,指数,3343.8446,3339.6421,3344.6005,3336.1784,149444300,181956000000.00 ,3345.2717,-5.6296,-0.1683,0,0,0,0
3f66c46b-a099-11e8-9e0f-56137984902b,2017/9/27,000001_SSE,上证指数,指数,3340.8219,3345.2717,3349.6949,3340.2989,143086945,168981000000.00 ,3343.5826,1.6891,0.0505,0,0,0,0
3f66c46c-a099-11e8-928e-56137984902b,2017/9/26,000001_SSE,上证指数,指数,3336.3497,3343.5826,3347.1629,3332.5985,132628595,159040000000.00 ,3341.5487,2.0339,0.0609,0,0,0,0
3f66c46d-a099-11e8-85f5-56137984902b,2017/9/25,000001_SSE,上证指数,指数,3344.5886,3341.5487,3350.9612,3334.9438,169621293,202402000000.00 ,3352.5294,-10.9807,-0.3275,0,0,0,0
3f66c46e-a099-11e8-97d4-56137984902b,2017/9/22,000001_SSE,上证指数,指数,3347.1569,3352.5294,3356.4514,3334.9846,179234007,206583000000.00 ,3357.8123,-5.2829,-0.1573,0,0,0,0
3f66c46f-a099-11e8-ad07-56137984902b,2017/9/21,000001_SSE,上证指数,指数,3364.6977,3357.8123,3377.8844,3356.8754,197448695,231946000000.00 ,3365.9959,-8.1836,-0.2431,0,0,0,0
3f66c470-a099-11e8-a660-56137984902b,2017/9/20,000001_SSE,上证指数,指数,3352.1848,3365.9959,3370.0978,3346.5356,192196661,225839000000.00 ,3356.8446,9.1513,0.2726,0,0,0,0
3f66c471-a099-11e8-ad11-56137984902b,2017/9/19,000001_SSE,上证指数,指数,3365.5315,3356.8446,3370.4009,3344.7054,191129691,220729000000.00 ,3362.8587,-6.0141,-0.1788,0,0,0,0
3f66c472-a099-11e8-8df1-56137984902b,2017/9/18,000001_SSE,上证指数,指数,3352.5134,3362.8587,3371.7486,3352.5134,190319676,227939000000.00 ,3353.6192,9.2395,0.2755,0,0,0,0
3f66c473-a099-11e8-9893-56137984902b,2017/9/15,000001_SSE,上证指数,指数,3365.1454,3353.6192,3365.5277,3345.3283,219765816,252911000000.00 ,3371.4256,-17.8064,-0.5282,0,0,0,0
3f66c474-a099-11e8-a38f-56137984902b,2017/9/14,000001_SSE,上证指数,指数,3383.47,3371.4256,3391.6435,3361.3335,221306487,256744000000.00 ,3384.147,-12.7214,-0.3759,0,0,0,0
3f66c475-a099-11e8-a967-56137984902b,2017/9/13,000001_SSE,上证指数,指数,3374.7185,3384.147,3387.1397,3366.5412,194550715,230733000000.00 ,3379.488,4.659,0.1379,0,0,0,0
3f66c476-a099-11e8-9743-56137984902b,2017/9/12,000001_SSE,上证指数,指数,3381.487,3379.488,3391.0694,3370.8519,272910319,325025000000.00 ,3376.4188,3.0692,0.0909,0,0,0,0
3f66c477-a099-11e8-93ff-56137984902b,2017/9/11,000001_SSE,上证指数,指数,3365.3506,3376.4188,3384.81,3360.0462,219011019,256889000000.00 ,3365.2426,11.1762,0.3321,0,0,0,0
3f66c478-a099-11e8-a113-56137984902b,2017/9/8,000001_SSE,上证指数,指数,3364.4275,3365.2426,3380.8898,3353.6876,198405184,235160000000.00 ,3365.4974,-0.2548,-0.0076,0,0,0,0
3f66c479-a099-11e8-b816-56137984902b,2017/9/7,000001_SSE,上证指数,指数,3383.6281,3365.4974,3387.7956,3363.1765,221118685,264037000000.00 ,3385.3888,-19.8914,-0.5876,0,0,0,0
3f66c47a-a099-11e8-a958-56137984902b,2017/9/6,000001_SSE,上证指数,指数,3372.4277,3385.3888,3391.0105,3364.7645,229090785,262035000000.00 ,3384.317,1.0718,0.0317,0,0,0,0
3f66c47b-a099-11e8-9628-56137984902b,2017/9/5,000001_SSE,上证指数,指数,3377.1968,3384.317,3390.8233,3371.5706,216552946,245597000000.00 ,3379.583,4.734,0.1401,0,0,0,0
3f66c47c-a099-11e8-9f50-56137984902b,2017/9/4,000001_SSE,上证指数,指数,3369.7185,3379.583,3381.4027,3359.1309,267427849,296348000000.00 ,3367.1194,12.4636,0.3702,0,0,0,0
3f66c47d-a099-11e8-b224-56137984902b,2017/9/1,000001_SSE,上证指数,指数,3365.9913,3367.1194,3381.9252,3358.4724,282497584,313722000000.00 ,3360.8103,6.3091,0.1877,0,0,0,0
3f66c47e-a099-11e8-bcb3-56137984902b,2017/8/31,000001_SSE,上证指数,指数,3361.4621,3360.8103,3367.3581,3340.6865,234419781,269133000000.00 ,3363.6266,-2.8163,-0.0837,0,0,0,0
3f66c47f-a099-11e8-a8b8-56137984902b,2017/8/30,000001_SSE,上证指数,指数,3361.8207,3363.6266,3376.6481,3357.0803,246863312,279641000000.00 ,3365.2261,-1.5995,-0.0475,0,0,0,0
3f66c480-a099-11e8-98fe-56137984902b,2017/8/29,000001_SSE,上证指数,指数,3362.0604,3365.2261,3374.5947,3354.4627,219504535,268916000000.00 ,3362.6514,2.5747,0.0766,0,0,0,0
3f66c481-a099-11e8-839b-56137984902b,2017/8/28,000001_SSE,上证指数,指数,3336.1264,3362.6514,3375.0339,3336.1264,257461438,305320000000.00 ,3331.5221,31.1293,0.9344,0,0,0,0
3f66c482-a099-11e8-8eab-56137984902b,2017/8/25,000001_SSE,上证指数,指数,3271.4608,3331.5221,3331.9146,3271.4608,205839482,227141000000.00 ,3271.5117,60.0104,1.8343,0,0,0,0
3f66c483-a099-11e8-af09-56137984902b,2017/8/24,000001_SSE,上证指数,指数,3287.9594,3271.5117,3297.9886,3266.3589,163468937,186245000000.00 ,3287.7049,-16.1932,-0.4925,0,0,0,0
3f66c484-a099-11e8-8f5f-56137984902b,2017/8/23,000001_SSE,上证指数,指数,3283.7966,3287.7049,3299.4572,3274.4404,179832208,204330000000.00 ,3290.2257,-2.5208,-0.0766,0,0,0,0
3f66c485-a099-11e8-8950-56137984902b,2017/8/22,000001_SSE,上证指数,指数,3287.6147,3290.2257,3293.476,3274.941,186537991,222927000000.00 ,3286.9055,3.3202,0.101,0,0,0,0
3f66c486-a099-11e8-89a6-56137984902b,2017/8/21,000001_SSE,上证指数,指数,3274.5805,3286.9055,3287.5186,3270.4753,186122483,209719000000.00 ,3268.7243,18.1812,0.5562,0,0,0,0
3f66c487-a099-11e8-b247-56137984902b,2017/8/18,000001_SSE,上证指数,指数,3253.2434,3268.7243,3275.0763,3248.0833,191122483,218438000000.00 ,3268.4298,0.2945,0.009,0,0,0,0
3f66c488-a099-11e8-b619-56137984902b,2017/8/17,000001_SSE,上证指数,指数,3253.8455,3268.4298,3269.1389,3251.4593,203622551,228377000000.00 ,3246.4512,21.9786,0.677,0,0,0,0
3f66c489-a099-11e8-86a1-56137984902b,2017/8/16,000001_SSE,上证指数,指数,3247.8525,3246.4512,3248.785,3228.8705,176852051,200833000000.00 ,3251.2617,-4.8105,-0.148,0,0,0,0
